Series Name,Series Code,Country Name,Country Code,1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Population, total",SP.POP.TOTL,Japan,JPN,98883000,99790000,100725000,101061000,103172000,104345000,105697000,107188000,108079000,110162000,111940000,112771000,113863000,114898000,115870000,116782000,117648000,118449000,119259000,120018000,120754000,121492000,122091000,122613000,123116000,123537000,123921000,124229000,124536000,124961000,125439000,125757000,126057000,126400000,126631000,126843000,127149000,127445000,127718000,127761000,127773000,127854000,128001000,128063000,128047000,128070000,127833000,127629000,127445000,127276000,127141000,126994511,126785797,126529100,..
"Population ages 00-04, male (% of male population)",SP.POP.0004.MA.5Y,Japan,JPN,8.63744631035338,8.81353975994836,8.86551258527994,8.85307754211348,8.85788180068608,8.93636455440614,9.0026886846846,9.16542421587206,9.35938285411705,9.46325440874976,9.40215663047806,9.3716798448465,9.04522663595315,8.53127332369572,8.0102256311434,7.60097788430352,7.0216029715896,6.74571496443636,6.67557205885203,6.63832468128223,6.51734075984333,6.49938683828015,6.35177623028436,6.10990904134564,5.86313483326858,5.67338256672281,5.50122703625639,5.35592760073688,5.24322515913221,5.14942735519544,5.06729541054329,4.99504022440445,4.95523018759457,4.93421056316869,4.91411943827646,4.8825515326476,4.87695777846447,4.82850210459304,4.75378127507269,4.68105784592951,4.62944719955381,4.56314697857744,4.53613453111442,4.53642101214226,4.5415111584296,4.53619924093562,4.54679930882028,4.54210900097678,4.52088110954857,4.48364349241313,4.43029294217344,4.37509205987226,4.28482485506819,4.17433194199988,..
"Population ages 00-04, female (% of female population)",SP.POP.0004.FE.5Y,Japan,JPN,7.97833949030672,8.13150155045246,8.17992185152023,8.17439626042284,8.18516336930279,8.2619254679432,8.33273636030938,8.48666904521679,8.66603670467155,8.76186244875221,8.70601784150173,8.67308097465092,8.3693169208043,7.89421570326658,7.41307398168171,7.0344246705638,6.49568355131875,6.23886256487618,6.17252848549058,6.13633791493184,6.02231787547937,6.00278272198907,5.86268503958357,5.63528377104667,5.40370190536904,5.2252117633494,5.06297288317062,4.92644331225478,4.82058962727647,4.73222545014526,4.65426567342332,4.58400030823329,4.54354864348693,4.520257048464,4.49774821947552,4.46459944064983,4.45538142468686,4.40732856566904,4.335546248459,4.26565855479057,4.21481770112219,4.15122566839814,4.12378518098262,4.1213140867568,4.1230042201229,4.11469449885972,4.12326907639036,4.11791700410798,4.09721867775188,4.06147252249013,4.01041926254142,3.95989884343858,3.87754563522342,3.77668480789864,..
"Population ages 05-09, male (% of male population)",SP.POP.0509.MA.5Y,Japan,JPN,8.37279633648804,8.15563623594804,8.05726048467213,8.06239709335194,8.12404839660036,8.17689328719502,8.20215291061118,8.22119729029491,8.23524584752968,8.26122264091596,8.31897308192525,8.41245272680025,8.5620949300367,8.74434124107403,8.89707870085455,8.94216551394157,8.87706366122929,8.63225723495062,8.22683153574682,7.75134481099537,7.33512671658905,7.0145426113686,6.77607370760631,6.6211584583068,6.50992140580011,6.37742946737075,6.21817676038545,6.057412984471,5.89495521455931,5.73599426079735,5.58838088777055,5.45907722075754,5.33526489343206,5.21927809023466,5.1146244582874,5.02545869694726,4.955683016934,4.91079678255076,4.88808345440299,4.87601375225674,4.85747560657223,4.83132763357441,4.79080221616149,4.73605678811309,4.67623828520335,4.62637569066345,4.59551157137843,4.57617127862569,4.56886333606706,4.56821360969662,4.56465075053075,4.5581560296641,4.55098910332659,4.54090824893187,..
"Population ages 05-09, female (% of female population)",SP.POP.0509.FE.5Y,Japan,JPN,7.75176415004456,7.55155301396208,7.45608276592163,7.45293607325253,7.50195698455187,7.54653280194245,7.57423741831857,7.59976186722179,7.62343873078401,7.65847705556729,7.72052795320657,7.81197451138766,7.95087420768457,8.11628884462671,8.25316347536121,8.29185525652806,8.22633671446885,7.99603609684829,7.61818923944637,7.17561721786157,6.7874778805105,6.4865753546137,6.26152951138834,6.11368126514941,6.00652007506628,5.88027639908027,5.72975869471074,5.57784755742512,5.42445634340048,5.27446703851673,5.13529529886781,5.01191334398504,4.89402922876936,4.78351693580591,4.68349166616258,4.59771275001465,4.53023420591245,4.48534918872537,4.46054425810584,4.4453470703164,4.42419712102266,4.39695065831579,4.35686177602551,4.30396048742421,4.24632512728749,4.19733007816307,4.16820026343141,4.14950970750827,4.14144147160189,4.13887915994678,4.13293869365229,4.12670668718413,4.1195446665404,4.10936506589603,..
"Population ages 10-14, male (% of male population)",SP.POP.1014.MA.5Y,Japan,JPN,9.87841629523833,9.37455680189984,8.92657243926272,8.53654139365194,8.21047089723517,7.96337924072556,7.78199721437273,7.67356689267572,7.62674375567708,7.61835360859693,7.62762987170932,7.6452196591215,7.68542749974253,7.7411460264092,7.82125174685583,7.94231414451585,8.12511061520016,8.32445827359089,8.51887149589057,8.6462353843509,8.63794147772865,8.48365569097013,8.21232651628939,7.85548598691656,7.48933686797927,7.18377230436371,6.94425234784646,6.7536386209231,6.59778139742335,6.44832014409177,6.28660529360172,6.1318883315537,5.98109744851148,5.83077086250888,5.68400327638442,5.54546065400654,5.41321873209249,5.2906070953977,5.17794847697109,5.07957882027214,5.00174555103931,4.95015818692487,4.91789685425513,4.89966116754345,4.88300143625311,4.85590114111269,4.82676949294973,4.78604148057855,4.73678040152932,4.68957840139361,4.65458987352156,4.63807609453961,4.63150967694327,4.63020509833389,..
"Population ages 10-14, female (% of female population)",SP.POP.1014.FE.5Y,Japan,JPN,9.14353264896552,8.675695824509,8.26167651069739,7.90232862046892,7.6009939085177,7.36976982699075,7.20259182364122,7.10277902224047,7.05959577544764,7.05246637775197,7.06348551294208,7.08530801241411,7.12822455712411,7.18552294803233,7.26458201967422,7.37957309721151,7.54785180934742,7.73008009046008,7.90649557293215,8.01983623193256,8.00710415356816,7.85797045744062,7.59943104495376,7.26287571402533,6.91910293542002,6.63163392100968,6.40648306312287,6.22627373538436,6.07809386165802,5.9359436799656,5.78267558181243,5.63417094858685,5.48919980145579,5.34589612321194,5.20689952135942,5.07544145575267,4.95075052400945,4.83458296968407,4.72734889602792,4.63320971405317,4.55779475743541,4.50733671982873,4.47460552382914,4.4546811018378,4.43599769661659,4.40729586963725,4.37983357109413,4.34165891538107,4.29526081295179,4.25009226048379,4.21524629007703,4.20000572655919,4.19346773267286,4.19127736440107,..
"Population ages 15-19, female (% of female population)",SP.POP.1519.FE.5Y,Japan,JPN,10.6534346860028,10.4371609343343,10.0568412987515,9.56559421647638,9.05215695757107,8.57891029186461,8.15275663916637,7.75375361743923,7.40016376080644,7.10993612660614,6.89204441832288,6.73992041618281,6.67845350596007,6.68326387642674,6.71574734568823,6.75227769211792,6.81451097514473,6.86125612435091,6.91124797442315,6.9962735903486,7.12862562618737,7.27163673007416,7.46903816462982,7.671103410883,7.79604729291964,7.7944314501843,7.68998480784528,7.45515414438148,7.13858840971301,6.82207418083814,6.55666729374545,6.31068799388606,6.11849012125946,5.97347761839969,5.84668130357202,5.71413264267469,5.57663985446769,5.43654253322113,5.29583820104625,5.15927959030204,5.03031844378886,4.91378546377364,4.80106829886109,4.69700377768407,4.6086737735532,4.5394762489523,4.49893022868776,4.47996478412221,4.47392041226474,4.46642676702784,4.44771647108713,4.42248147970004,4.38737759620981,4.34804249045473,..
"Population ages 15-19, male (% of male population)",SP.POP.1519.MA.5Y,Japan,JPN,11.3800871166492,11.1689846617645,10.7804445823573,10.2699448324757,9.73140494652393,9.23195015908422,8.78158068711542,8.35301180851224,7.96861267078802,7.65226106573496,7.41642887020379,7.2514460724203,7.18810347139796,7.19826421578953,7.23695967971882,7.27683084886454,7.34262973587026,7.38843684920063,7.43684582241468,7.52524399810609,7.66832777568737,7.81392026252186,8.02685760036673,8.25501938518004,8.40626810982781,8.42154889666223,8.32133976317044,8.07505333775755,7.73680179597315,7.39798163294651,7.11560396628986,6.84712742464587,6.64043175740062,6.49070342803004,6.36498851476642,6.23376236407652,6.0934144909567,5.9468004212947,5.79725427752441,5.65190907961554,5.51576000261809,5.39172751898025,5.27176682828992,5.1614542417238,5.06875838596635,4.99762471306138,4.95405572196494,4.93437946648305,4.92947781405578,4.92382734477004,4.90687674902172,4.87943677317559,4.8415407293051,4.79951290344866,..
"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,Japan,JPN,9.18079501286156,9.38749562121053,9.66053680009153,9.9206203694926,10.0545631713699,10.0006632393848,9.80412025375168,9.43580849469866,8.95838717139382,8.4715886507417,8.0384172083193,7.63373398553911,7.28363306489285,6.98978429461998,6.74990903145638,6.56535875546207,6.46775157360232,6.42775313433348,6.43507804293302,6.47141433235033,6.52241899198867,6.56052101310209,6.59969029786892,6.65078239212188,6.73344506253565,6.85814477606223,7.04718943244403,7.28463856956168,7.51926702572925,7.67292184398298,7.69798859481181,7.59538916449647,7.34913923964116,7.00788351659698,6.66080628468611,6.37137864463748,6.15627984876146,6.0033034727605,5.89249358937706,5.78583523959706,5.66021096803787,5.53273042884283,5.39877187413818,5.26241827522155,5.13054331216964,5.00698972282323,4.89970612204518,4.7972553456143,4.70414024016294,4.62706163879279,4.56980350044953,4.5368795232185,4.52582024467181,4.52742896434242,..
